device_name,device_type,eq_variant,data_source,score_before_eq,score_with_eq,preamp_db,num_filters,filter_index,filter_type,fc_hz,gain_db,q,generator_version,generated_at,source_file
7HZ Timeless,headphone,score,,,,-4.7,7,3,PK,295.0,-1.91,0.5,,,headphone_eq/7HZ Timeless/iir-autoeq-score.txt
7HZ Timeless,headphone,score,,,,-4.7,7,4,PK,375.0,3.23,1.22,,,headphone_eq/7HZ Timeless/iir-autoeq-score.txt
7HZ Timeless,headphone,score,,,,-4.7,7,5,PK,657.0,2.86,1.21,,,headphone_eq/7HZ Timeless/iir-autoeq-score.txt
7HZ Timeless,headphone,score,,,,-4.7,7,6,PK,1687.0,-3.2,2.47,,,headphone_eq/7HZ Timeless/iir-autoeq-score.txt
7HZ Timeless,headphone,score,,,,-4.7,7,7,PK,3991.0,4.81,0.71,,,headphone_eq/7HZ Timeless/iir-autoeq-score.txt
ABYSS Headphones AB-1266 Phi TC,headphone,flat,,,,-6.5,7,1,PK,60.0,0.93,2.39,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-flat.txt
ABYSS Headphones AB-1266 Phi TC,headphone,flat,,,,-6.5,7,2,PK,78.0,4.94,0.96,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-flat.txt
ABYSS Headphones AB-1266 Phi TC,headphone,flat,,,,-6.5,7,3,PK,173.0,4.67,1.07,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-flat.txt
ABYSS Headphones AB-1266 Phi TC,headphone,flat,,,,-6.5,7,4,PK,396.0,4.18,2.74,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-flat.txt
ABYSS Headphones AB-1266 Phi TC,headphone,flat,,,,-6.5,7,5,PK,776.0,5.47,1.44,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-flat.txt
ABYSS Headphones AB-1266 Phi TC,headphone,flat,,,,-6.5,7,6,PK,1965.0,4.5,2.44,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-flat.txt
ABYSS Headphones AB-1266 Phi TC,headphone,flat,,,,-6.5,7,7,PK,5017.0,5.9,0.98,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-flat.txt
ABYSS Headphones AB-1266 Phi TC,headphone,score,,,,-10.1,7,1,PK,61.0,4.32,1.25,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-score.txt
ABYSS Headphones AB-1266 Phi TC,headphone,score,,,,-10.1,7,2,PK,100.0,5.95,0.58,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-score.txt
ABYSS Headphones AB-1266 Phi TC,headphone,score,,,,-10.1,7,3,PK,215.0,5.38,0.71,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-score.txt
ABYSS Headphones AB-1266 Phi TC,headphone,score,,,,-10.1,7,4,PK,452.0,4.85,1.45,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-score.txt
ABYSS Headphones AB-1266 Phi TC,headphone,score,,,,-10.1,7,5,PK,929.0,5.69,1.18,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-score.txt
ABYSS Headphones AB-1266 Phi TC,headphone,score,,,,-10.1,7,6,PK,2064.0,5.99,0.7,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-score.txt
ABYSS Headphones AB-1266 Phi TC,headphone,score,,,,-10.1,7,7,PK,6385.0,6.0,0.51,,,headphone_eq/ABYSS Headphones AB-1266 Phi TC/iir-autoeq-score.txt
AKG K240,headphone,flat,,,,-2.5,7,1,PK,62.0,0.27,4.53,,,headphone_eq/AKG K240/iir-autoeq-flat.txt
AKG K240,headphone,flat,,,,-2.5,7,2,PK,136.0,-4.34,0.91,,,headphone_eq/AKG K240/iir-autoeq-flat.txt
AKG K240,headphone,flat,,,,-2.5,7,3,PK,451.0,-8.49,0.5,,,headphone_eq/AKG K240/iir-autoeq-flat.txt
AKG K240,headphone,flat,,,,-2.5,7,4,PK,472.0,3.72,2.22,,,headphone_eq/AKG K240/iir-autoeq-flat.txt
AKG K240,headphone,flat,,,,-2.5,7,5,PK,1465.0,1.56,2.58,,,headphone_eq/AKG K240/iir-autoeq-flat.txt
AKG K240,headphone,flat,,,,-2.5,7,6,PK,1580.0,3.54,3.59,,,headphone_eq/AKG K240/iir-autoeq-flat.txt
AKG K240,headphone,flat,,,,-2.5,7,7,PK,4477.0,1.28,5.71,,,headphone_eq/AKG K240/iir-autoeq-flat.txt
AKG K240,headphone,score,,,,-2.5,7,1,PK,61.0,0.14,4.3,,,headphone_eq/AKG K240/iir-autoeq-score.txt
AKG K240,headphone,score,,,,-2.5,7,2,PK,136.0,-4.71,0.93,,,headphone_eq/AKG K240/iir-autoeq-score.txt
AKG K240,headphone,score,,,,-2.5,7,3,PK,419.0,-8.22,0.6,,,headphone_eq/AKG K240/iir-autoeq-score.txt
AKG K240,headphone,score,,,,-2.5,7,4,PK,463.0,3.69,2.63,,,headphone_eq/AKG K240/iir-autoeq-score.txt
AKG K240,headphone,score,,,,-2.5,7,5,PK,1667.0,6.0,2.39,,,headphone_eq/AKG K240/iir-autoeq-score.txt
AKG K240,headphone,score,,,,-2.5,7,6,PK,4203.0,6.0,2.0,,,headphone_eq/AKG K240/iir-autoeq-score.txt
AKG K240,headphone,score,,,,-2.5,7,7,PK,5059.0,-6.86,0.5,,,headphone_eq/AKG K240/iir-autoeq-score.txt
AKG K271,headphone,flat,,,,-6.0,7,1,PK,60.0,1.16,4.41,,,headphone_eq/AKG K271/iir-autoeq-flat.txt
AKG K271,headphone,flat,,,,-6.0,7,2,PK,77.0,5.76,0.9,,,headphone_eq/AKG K271/iir-autoeq-flat.txt
AKG K271,headphone,flat,,,,-6.0,7,3,PK,241.0,3.44,3.37,,,headphone_eq/AKG K271/iir-autoeq-flat.txt
AKG K271,headphone,flat,,,,-6.0,7,4,PK,429.0,-0.47,1.98,,,headphone_eq/AKG K271/iir-autoeq-flat.txt
AKG K271,headphone,flat,,,,-6.0,7,5,PK,1255.0,2.21,1.67,,,headphone_eq/AKG K271/iir-autoeq-flat.txt
AKG K271,headphone,flat,,,,-6.0,7,6,PK,1468.0,-4.07,2.75,,,headphone_eq/AKG K271/iir-autoeq-flat.txt
AKG K271,headphone,flat,,,,-6.0,7,7,PK,4718.0,5.96,0.76,,,headphone_eq/AKG K271/iir-autoeq-flat.txt
AKG K271,headphone,score,,,,-6.0,7,1,PK,60.0,5.06,1.28,,,headphone_eq/AKG K271/iir-autoeq-score.txt
AKG K271,headphone,score,,,,-6.0,7,2,PK,89.0,3.14,2.26,,,headphone_eq/AKG K271/iir-autoeq-score.txt
AKG K271,headphone,score,,,,-6.0,7,3,PK,222.0,3.19,1.7,,,headphone_eq/AKG K271/iir-autoeq-score.txt
